[2019/8/10 - 22:37:43] Master (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/17 - 17:25:47] Hoang_Vuaaaa (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/17 - 17:41:51] Hoang_Vuaaaa (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/18 - 7:54:00] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/18 - 8:05:44] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/18 - 8:14:44] Master_Vua (ID: 0 | SQL ID: 10 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/18 - 8:19:36] Master_Vua (ID: 0 | SQL ID: 10 | Level: 1 | IP: 127.0.0.1) has been kicked/banned.
[2020/7/18 - 8:58:00] Master_Vuaa (ID: 0 | SQL ID: 11 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/18 - 9:08:10] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/18 - 9:09:35] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/18 - 9:11:02] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/18 - 9:14:22] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/18 - 9:33:45] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/18 - 9:34:11] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has timed out.
[2020/7/18 - 9:34:20] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/18 - 9:34:51] Master_Vu (ID: 0 | SQL ID: 9 | Level: 1 | IP: 127.0.0.1) has disconnected.
