[07:53:21] [INFO] received Windows console close event; shutting log-core down
[08:54:37] [INFO] received Windows console close event; shutting log-core down
[09:06:58] [INFO] received Windows console close event; shutting log-core down
[09:17:03] [INFO] received Windows console close event; shutting log-core down
[09:32:48] [INFO] received Windows console close event; shutting log-core down
[09:32:58] [INFO] received Windows console close event; shutting log-core down
[09:35:01] [INFO] received Windows console close event; shutting log-core down
[09:36:40] [INFO] received Windows console close event; shutting log-core down
[18:23:27] [INFO] received Windows console close event; shutting log-core down
[18:38:06] [INFO] received Windows console close event; shutting log-core down
[19:03:26] [INFO] received Windows console close event; shutting log-core down
[19:34:35] [INFO] received Windows console close event; shutting log-core down
[00:50:24] [INFO] received Windows console close event; shutting log-core down
[00:51:53] [INFO] received Windows console close event; shutting log-core down
[00:56:01] [INFO] received Windows console close event; shutting log-core down
[00:56:27] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:56:31] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:57:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:57:33] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:57:34] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:57:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:58:26] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:58:42] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:09:42] [INFO] received Windows console close event; shutting log-core down
[20:17:52] [INFO] received Windows console close event; shutting log-core down
[20:21:50] [INFO] received Windows console close event; shutting log-core down
[20:23:02] [INFO] received Windows console close event; shutting log-core down
[22:47:58] [INFO] received Windows console close event; shutting log-core down
[22:49:45] [INFO] received Windows console close event; shutting log-core down
[22:56:52] [INFO] received Windows console close event; shutting log-core down
[23:04:40] [INFO] received Windows console close event; shutting log-core down
[23:07:24] [INFO] received Windows console close event; shutting log-core down
[23:21:46] [INFO] received Windows console close event; shutting log-core down
[23:29:47] [INFO] received Windows console close event; shutting log-core down
[23:30:32] [INFO] received Windows console close event; shutting log-core down
[23:31:34] [INFO] received Windows console close event; shutting log-core down
[23:36:52] [INFO] received Windows console close event; shutting log-core down
[03:10:09] [INFO] received Windows console close event; shutting log-core down
[03:16:38] [INFO] received Windows console close event; shutting log-core down
[03:20:20] [INFO] received Windows console close event; shutting log-core down
[03:20:49] [INFO] received Windows console close event; shutting log-core down
[03:22:17] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 3:24:25 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 3:29:05 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 3:45:03 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:16:28 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:30:08 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:41:36 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:45:23 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:47:29 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:51:29 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:53:27 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:55:24 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:57:24 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 4:58:36 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[5/19/2026 4:59:04 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[5/19/2026 5:02:44 AM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[5/19/2026 5:14:24 AM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 12:50:05 PM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 12:50:29 PM] [INFO] received Windows console close event; shutting log-core down
[5/19/2026 1:09:34 PM] [INFO] received Windows console close event; shutting log-core down
